F1,F2,F3,F4
3.8934,0.2273,3.4548,0.3282
3.887,0.2287,3.4487,0.3203
3.8843,0.2282,3.4523,0.3277
3.8854,0.2263,3.4517,0.3257
3.8898,0.2288,3.4603,0.3345
3.8879,0.228,3.451,0.3262
3.8556,0.2307,3.4538,0.327
3.8892,0.2282,3.4617,0.3224
3.8886,0.2292,3.4597,0.3245
3.8913,0.2278,3.4603,0.324
3.8844,0.2283,3.4509,0.3224
3.8829,0.2302,3.4251,0.2865
3.8844,0.2289,3.4485,0.3214
3.8826,0.2293,3.4483,0.325
3.8804,0.2298,3.4513,0.3216
3.8834,0.2278,3.4519,0.3236
3.8853,0.2283,3.4489,0.3245
3.8853,0.2301,3.4287,0.3261
3.8713,0.2298,3.4329,0.3248
3.8807,0.2295,3.4334,0.3196
3.8794,0.2295,3.4428,0.3291
3.8867,0.2284,3.4399,0.3313
